created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2024-11-21,350000.0,45,3,2,1,2024-11-25,-23.59412832940592,-46.629931959198494,Rua Doutor Barros Cruz 33,Vila Mariana
2018-09-24,1477563.0,63,3,2,1,2024-11-25,-23.52186368285224,-46.64155419445446,Rua Newton Prado 700,Bom Retiro
2018-12-18,570000.0,87,3,2,1,2024-11-25,-23.583911290291848,-46.642190373886194,Avenida Conselheiro Rodrigues Alves 429,Vila Mariana
2024-11-22,940000.0,100,3,2,2,2024-11-25,-23.53461425512015,-46.67214774244812,Rua Doutor Homem de Melo 838,Perdizes
2018-03-27,535000.0,61,3,2,2,2024-11-25,-23.636001915256507,-46.73780430432569,Rua Alexandre Benois 17,Vila Andrade
2019-02-12,1160000.0,104,3,2,2,2024-11-25,-23.591021108734058,-46.62270622090704,Rua Galofre 127,Jardim Vila Mariana
2021-05-21,2400000.0,172,3,2,3,2024-11-25,-23.547772389550847,-46.56069593072895,Rua Azevedo Soares 2315,Vila Gomes Cardim
2020-10-07,1400000.0,100,3,2,3,2024-11-25,-23.5364715,-46.71661450306861,Rua Coelho de Carvalho 261,Alto da Lapa
2018-11-15,800000.0,92,3,2,3,2024-11-25,-23.47939971102501,-46.63716308303501,Rua Maria José Pomar,Lauzane Paulista
2024-08-16,650000.0,89,3,2,3,2024-11-25,-23.49055460862165,-46.64633630590326,Rua Artur 575,Imirim
2021-06-04,650000.0,74,3,2,3,2024-11-25,-23.4733406,-46.63707436738712,Avenida Zumkeller 800,Parque Mandaqui
2020-08-11,1602317.3015935991,83,3,2,3,2024-11-25,-23.53567727802248,-46.75658004242934,Avenida Venceslau de Queirós,Jaguaré
2018-03-27,11000000.0,367,3,2,5,2024-11-25,-23.60085692299475,-46.66493699314566,Avenida Sabiá,Indianópolis
2023-05-30,2990000.0,160,3,2,4,2024-11-25,-23.61356673235428,-46.62548820113288,Avenida Bosque da Saúde,Saúde
2018-03-27,3400000.0,243,3,2,4,2024-11-25,-23.532111067403328,-46.714955465915885,Rua Presidente Antônio Cândido,Alto da Lapa
2018-03-28,1850000.0,139,3,3,1,2024-11-25,-23.57374485,-48.02442576609145,Não Informado,Jardim Paulista
2018-03-27,1350000.0,81,3,3,1,2024-11-25,-23.62493998837156,-46.68660785860788,Avenida Santo Amaro 4800,Santo Amaro
2018-03-27,1349000.0,110,3,3,1,2024-11-25,-23.560291300000003,-46.669136678071794,Rua Melo Alves 265,Cerqueira César
2018-03-27,1900000.0,135,3,3,1,2024-11-25,-23.623279040993022,-46.67382946935149,Rua Edson 1172,Campo Belo
2021-02-08,1997000.0,82,3,3,1,2024-11-25,-23.6056702,-46.66821719513412,Alameda Jauaperi 1096,Moema
2018-03-27,530000.0,60,3,3,1,2024-11-25,-23.547382640565434,-46.54163573745083,Avenida Guilherme Giorgi,Vila Carrão
2018-03-27,2930000.0,165,3,3,1,2024-11-25,-23.56583305,-46.66258415953999,Rua Peixoto Gomide 1618,Jardim Paulista
2022-07-14,2499980.0,210,3,3,1,2024-11-25,-23.57112706903883,-46.66093732843387,Rua Pamplona 508,Jardim Paulista
2018-03-27,3000000.0,167,3,3,1,2024-11-25,-23.56856885,-46.66445624956494,Rua Barão de Capanema 132,Cerqueira César
